ID	GENERO	RENTA	EDAD	NIV_EDUC	E_CIVIL	COD_OFI	COD_COM	CIUDAD	Crédito_1	Crédito_2	Crédito_3	Crédito_4	Monto solicitado	Días de Mora	Monto Deuda Promedio	Número de meses inactivo	numero de cuotas	Aval	PAGA
18	M       	2000000	61	TEC     	CAS     	24	124	CURACAVI        	0	500000	0	0	89	0	53118	1	80	NO	NO PAGA
19	M       	820000	36	UNV     	CAS     	54	88	SANTIAGO        	0	500000	0	0	0	0	64276	0	36	NO	NO PAGA
20	M       	500000	40	TEC     	CAS     	88	67	VINA DEL MAR    	0	1117500	0	0	174	0	0	1	9	NO	NO PAGA
21	F       	600000	51	UNV     	CAS     	138	1	ARICA           	0	13476	0	0	279	0	0	1	22	NO	PAGA
22	F       	70000	51	MED     	SOL     	50	98	SANTIAGO        	0	1300000	0	0	0	30	3358	0	62	SI	NO PAGA
23	F       	6800000	34	TEC     	SOL     	19	80	SANTIAGO        	0	0	0	93283	1028	0	491	1	14	NO	NO PAGA
24	M       	1502000	45	UNV     	CAS     	31	119	SANTIAGO        	2296794	425354	0	1649683	3005	37	3037	1	46	NO	PAGA
25	F       	50000	45	TEC     	SEP     	16	313	PALENA          	332606	1198000	0	0	358	0	0	1	9	SI	NO PAGA
26	M       	1160000	50	UNV     	CAS     	83	85	SANTIAGO        	0	12044	0	1099284	3595	4	5361	3	23	NO	PAGA
27	F       	2200000	38	UNV     	SOL     	84	85	SANTIAGO        	0	491609	0	0	8	45	0	1	80	NO	NO PAGA
28	F       	5010000	38	TEC     	SOL     	53	100	SANTIAGO        	0	224185	0	49141	53	0	0	1	16	NO	NO PAGA
29	M       	762000	45	MED     	SOL     	103	93	SANTIAGO        	0	250000	0	0	17	0	0	1	36	SI	PAGA
30	M       	750000	35	TEC     	CAS     	16	89	SANTIAGO        	0	490455	0	0	48	13	225	1	33	NO	NO PAGA
31	F       	54700	50	MED     	SOL     	82	91	SANTIAGO        	0	260461	0	297328	5	0	165	1	49	SI	NO PAGA
32	M       	1200000	29	TEC     	SOL     	13	16	ANTOFAGASTA     	0	438043	0	0	1008	0	799	1	50	NO	NO PAGA
33	M       	800000	32	MED     	CAS     	27	226	CONCEPCION      	0	750000	0	727188	667	0	1581	2	33	SI	PAGA
34	F       	77000	31	MED     	SOL     	24	88	SANTIAGO        	0	3082754	0	0	0	0	11523	0	80	SI	NO PAGA
35	M       	1400000	37	MED     	SEP     	84	16	ANTOFAGASTA     	0	1764296	0	0	5	0	0	1	53	NO	NO PAGA
36	F       	463000	63	MED     	CAS     	95	316	AYSEN           	0	423805	0	289449	786	0	0	1	11	NO	NO PAGA
37	F       	1153000	42	UNV     	CAS     	138	1	ARICA           	1451108	19684	0	100000	4842	0	102	2	10	NO	PAGA
38	M       	4860000	40	UNV     	CAS     	31	119	SANTIAGO        	0	350000	0	3537708	292	0	12249	1	55	NO	PAGA
39	F       	47000	50	MED     	SOL     	25	85	SANTIAGO        	1815858	1000000	0	0	5376	0	1019	3	9	SI	NO PAGA
40	F       	46000	43	MED     	SOL     	11	11	TOCOPILLA       	0	476919	0	0	0	0	2740	0	61	SI	NO PAGA
41	M       	7500000	43	UNV     	CAS     	90	100	SANTIAGO        	601716	381282	0	223709	60	0	248	1	31	NO	PAGA
42	F       	700000	57	MED     	CAS     	34	88	SANTIAGO        	0	412550	0	64967	194	0	30	1	24	NO	NO PAGA
43	M       	50000	45	MED     	CAS     	55	90	SANTIAGO        	0	540021	0	0	10	2	0	1	60	NO	PAGA
44	F       	6400000	64	TEC     	CAS     	78	184	COLBUN          	0	789829	0	112684	11622	0	2	1	80	NO	NO PAGA
45	F       	48700	60	TEC     	SOL     	22	1	ARICA           	819533	92031	0	1997053	3189	0	2032	1	29	SI	NO PAGA
46	F       	520000	60	TEC     	SEP     	63	300	CASTRO          	0	0	0	0	13	0	0	1	21	NO	NO PAGA
47	M       	2466000	30	MED     	SOL     	101	88	SANTIAGO        	0	1250000	0	768770	1195	0	305	1	80	NO	NO PAGA
48	F       	8000000	35	MED     	SOL     	75	74	SAN ANTONIO     	515659	35779	0	485815	1130	0	506	1	18	NO	NO PAGA
49	F       	6000000	38	TEC     	VIU     	10	5	IQUIQUE         	0	562702	0	0	372	0	0	1	38	NO	NO PAGA
50	F       	9500000	40	TEC     	SOL     	67	193	CHILLAN         	0	288102	0	0	6	0	0	1	16	NO	NO PAGA
51	M       	1250000	28	TEC     	SOL     	13	16	ANTOFAGASTA     	0	800000	0	0	229	36	4143	2	55	SI	NO PAGA
52	F       	626000	48	MED     	SEP     	138	1	ARICA           	0	451626	0	0	0	0	0	1	21	NO	PAGA
53	M       	2000000	59	UNV     	SOL     	101	98	SANTIAGO        	0	500000	0	2500000	1152	0	2823	1	80	NO	NO PAGA
54	F       	50000	43	TEC     	SOL     	24	116	SANTIAGO        	0	0	0	305359	0	0	340	0	26	SI	NO PAGA
55	M       	557000	35	MED     	CAS     	90	 	                	0	0	0	0	1123	20	0	1	12	NO	NO PAGA
56	M       	45000	40	MED     	CAS     	55	90	SANTIAGO        	2208949	500000	0	950055	4777	12	957	2	18	NO	PAGA
57	F       	1100000	53	MED     	CAS     	12	16	ANTOFAGASTA     	0	1119107	0	569852	226	0	805	1	44	NO	NO PAGA
58	F       	9800000	38	TEC     	SOL     	40	67	VINA DEL MAR    	0	500000	0	0	6190	0	60754	1	48	NO	NO PAGA
59	F       	580000	57	TEC     	VIU     	27	226	CONCEPCION      	0	0	0	1498432	0	0	4506	0	24	NO	NO PAGA
60	M       	700000	26	UNV     	CAS     	15	67	VINA DEL MAR    	796783	900983	0	0	888	0	0	1	12	NO	NO PAGA
61	M       	2600000	41	UNV     	CAS     	60	291	PUERTO MONTT    	0	115440	0	4500000	7960	14	4566	3	77	SI	NO PAGA
62	M       	1400000	42	MED     	SEP     	31	119	SANTIAGO        	3105337	650000	0	0	4883	0	516	2	22	SI	PAGA
63	F       	4600000	44	UNV     	CAS     	118	94	SANTIAGO        	0	13686	0	169317	1131	0	326	2	13	NO	PAGA
64	M       	601000	47	UNV     	CAS     	138	1	ARICA           	0	90909	0	234949	591	0	303	1	19	SI	PAGA
65	M       	77900	52	UNV     	CAS     	55	90	SANTIAGO        	0	500000	0	0	965	0	0	2	17	NO	PAGA
66	M       	1106000	35	UNV     	CAS     	98	122	MELIPILLA       	0	649998	0	429782	0	11	395	0	49	SI	NO PAGA
67	M       	5500000	43	MED     	SEP     	18	118	SANTIAGO        	0	325000	0	0	0	0	0	1	37	SI	PAGA
68	M       	1200000	48	MED     	CAS     	66	253	TEMUCO          	0	0	0	0	0	0	0	0	60	NO	NO PAGA
69	M       	1196000	48	UNV     	CAS     	138	1	ARICA           	0	0	0	0	0	4	0	1	60	NO	PAGA
70	M       	750000	47	MED     	SOL     	138	1	ARICA           	0	156284	0	0	304	0	0	1	35	SI	PAGA
71	M       	674000	44	TEC     	CAS     	138	1	ARICA           	0	1631228	0	1015374	302	0	2928	2	11	NO	PAGA
72	M       	1100000	46	MED     	SOL     	138	1	ARICA           	0	1099564	0	0	16	1	0	1	45	NO	PAGA
73	M       	850000	55	UNV     	CAS     	18	89	SANTIAGO        	604663	0	0	0	890	18	3	3	34	NO	PAGA
74	F       	1000000	42	MED     	SOL     	27	226	CONCEPCION      	796361	259348	0	132718	1288	0	0	1	38	SI	NO PAGA
75	F       	51900	48	TEC     	SOL     	22	93	SANTIAGO        	0	0	0	800000	195	25	138	1	54	SI	NO PAGA
76	F       	90000	36	TEC     	SOL     	116	131	RANCAGUA        	1539136	63243	0	0	3437	10	810	1	11	SI	NO PAGA
77	F       	440000	36	UNV     	CAS     	21	502	CHUQUICAMATA    	0	0	0	328674	0	0	276	0	18	NO	NO PAGA
78	F       	478000	27	TEC     	SOL     	45	128	PENAFLOR        	0	250000	0	202165	0	0	203	0	17	NO	NO PAGA
79	M       	1566000	35	UNV     	CAS     	66	253	TEMUCO          	3874669	461265	201045	0	4107	0	318	1	51	NO	NO PAGA
80	F       	573000	55	TEC     	SEP     	16	89	SANTIAGO        	964531	100000	0	0	1032	0	0	1	13	NO	PAGA
81	M       	772000	51	UNV     	CAS     	138	1	ARICA           	0	-17434	0	250000	1258	0	256	2	27	SI	PAGA
82	F       	600000	47	MED     	CAS     	138	1	ARICA           	0	300000	0	0	0	0	124	1	21	NO	PAGA
83	M       	800000	53	MED     	SOL     	55	93	SANTIAGO        	0	300000	0	0	0	0	0	0	37	NO	NO PAGA
84	M       	1500000	49	UNV     	VIU     	45	 	                	0	1000000	0	0	67	25	0	1	65	NO	NO PAGA
85	M       	700000	33	TEC     	SOL     	83	88	SANTIAGO        	0	0	0	0	1939	0	1162	1	9	NO	NO PAGA
86	M       	1350000	43	UNV     	CAS     	138	1	ARICA           	0	950000	0	885181	544	0	587	1	58	NO	PAGA
87	F       	500000	44	MED     	CAS     	36	67	VINA DEL MAR    	0	938949	0	0	103	0	0	1	11	NO	NO PAGA
88	F       	4600000	33	TEC     	SOL     	61	284	OSORNO          	1654119	750000	0	378822	1866	0	659	1	19	NO	NO PAGA
89	M       	75600	40	UNV     	SEP     	132	118	SANTIAGO        	0	10741	0	1430498	3530	20	6307	3	14	NO	PAGA
90	F       	4520000	31	MED     	CAS     	56	131	RANCAGUA        	0	30127	0	600000	591	0	612	1	19	SI	NO PAGA
91	M       	52700	44	UNV     	CAS     	55	90	SANTIAGO        	0	0	0	600000	0	0	3168	1	20	NO	PAGA
92	F       	54400	50	TEC     	SOL     	13	16	ANTOFAGASTA     	0	500000	0	0	0	34	0	0	45	SI	NO PAGA
93	M       	1200000	40	TEC     	CAS     	30	98	SANTIAGO        	1807305	2300000	0	617552	2654	0	699	3	19	NO	NO PAGA
94	F       	5470000	40	TEC     	SOL     	29	93	SANTIAGO        	0	16514	0	622113	2031	0	384	3	30	SI	NO PAGA
95	F       	770000	49	MED     	CAS     	138	85	SANTIAGO        	0	-7255	0	801618	2058	0	702	3	18	NO	PAGA
96	F       	6680000	24	TEC     	SEP     	118	86	SANTIAGO        	0	733853	0	24527	0	0	4	0	31	NO	NO PAGA
97	F       	500000	59	TEC     	CAS     	84	89	SANTIAGO        	0	581247	0	0	86	0	0	1	15	NO	NO PAGA
98	M       	950000	41	TEC     	CAS     	122	95	SANTIAGO        	0	890000	0	0	380	0	0	2	39	NO	NO PAGA
99	F       	680000	34	UNV     	CAS     	128	88	SANTIAGO        	0	138979	0	492813	362	0	81	2	24	NO	NO PAGA
100	F       	520000	60	TEC     	SOL     	63	300	CASTRO          	0	0	0	0	13	0	0	1	21	NO	NO PAGA
101	M       	621000	28	TEC     	CAS     	27	226	CONCEPCION      	0	219332	0	0	1997	4	352	3	5	NO	PAGA
102	M       	634000	54	TEC     	CAS     	25	106	SANTIAGO        	0	500000	0	1099438	1573	0	2040	1	10	NO	PAGA
103	M       	8710000	40	UNV     	CAS     	55	90	SANTIAGO        	1276516	4922		150000	1541	0	157	1	5	NO	PAGA
104	F       	600000	32	TEC     	CAS     	34	29	LA SERENA       	0	400000	0	350000	0	0	355	0	20	NO	NO PAGA
105	M       	2700000	42	UNV     	CAS     	19	115	SANTIAGO        	0	389673	0	0	48	0	283	1	80	NO	NO PAGA
106	F       	71600	50	MED     	SOL     	27	226	CONCEPCION      	0	0	0	0	59	7	0	1	26	SI	NO PAGA
107	M       	750000	34	TEC     	SOL     	27	226	CONCEPCION      	0	700000	0	0	211	23	0	1	31	NO	NO PAGA
108	M       	519000	48	UNV     	CAS     	138	1	ARICA           	0	205068	0	0	11	0	185	1	19	NO	PAGA
109	F       	4550000	32	TEC     	SOL     	62	292	PUERTO VARAS    	0	232647	0	0	972	31	0	3	28	NO	NO PAGA
110	M       	1704000	51	UNV     	SOL     	90	88	SANTIAGO        	0	1250000	0	751553	3872	50	1942	3	64	NO	PAGA
111	F       	486000	29	TEC     	SOL     	16	91	SANTIAGO        	0	15132	0	140691	207	0	87	1	18	NO	NO PAGA
112	F       	750000	54	UNV     	SEP     	27	226	CONCEPCION      	0	519917	0	291628	0	0	301	1	33	NO	PAGA
113	M       	2000000	50	MED     	VIU     	49	110	SANTIAGO        	416504	0	0	0	828	0	1022	1	80	NO	PAGA
114	F       	8000000	38	TEC     	VIU     	138	112	SANTIAGO        	0	1000000	0	0	0	0	40	0	80	NO	NO PAGA
115	M       	650000	36	UNV     	CAS     	72	504	EL SALVADOR     	673657	553964	0	0	863	0	0	1	14	SI	NO PAGA
116	M       	1200000	38	UNV     	SOL     	18	99	SANTIAGO        	0	403230	0	0	4806	0	1218	2	12	SI	NO PAGA
117	F       	484000	26	MED     	CAS     	40	67	VINA DEL MAR    	0	743500	0	0	128	0	0	1	12	NO	NO PAGA
118	M       	1264000	43	TEC     	SOL     	67	193	CHILLAN         	0	800000	0	0	0	0	23948	0	56	NO	NO PAGA
119	F       	67400	43	TEC     	SOL     	56	131	RANCAGUA        	0	229558	0	698963	313	0	1324	1	37	SI	NO PAGA
120	M       	7500000	40	UNV     	CAS     	55	90	SANTIAGO        	412498	0	0	0	692	0	0	2	22	NO	PAGA
121	M       	600000	33	UNV     	SOL     	32	105	SANTIAGO        	0	249000	0	462509	1	0	1565	1	22	NO	NO PAGA
122	F       	9200000	39	TEC     	VIU     	96	131	RANCAGUA        	891079	55748	0	324557	1530	0	3113	1	13	NO	NO PAGA
123	M       	716000	40	UNV     	CAS     	13	16	ANTOFAGASTA     	0	300000	0	166	228	0	0	1	26	NO	NO PAGA
124	M       	744000	53	UNV     	SOL     	27	226	CONCEPCION      	0	103418	0	241818	279	0	451	1	35	NO	PAGA
125	M       	544000	46	MED     	CAS     	108	105	SANTIAGO        	0	664380	0	113397	109	14	116	3	16	NO	PAGA
126	F       	550000	42	UNV     	CAS     	31	119	SANTIAGO        	0	611706	0	59527	0	2	481	1	16	NO	PAGA
127	F       	1380000	60	MED     	CAS     	68	213	LOS ANGELES     	1403219	3050000	1399989	0	0	0	2369	0	25	NO	NO PAGA
128	F       	790000	38	MED     	CAS     	103	89	SANTIAGO        	0	75510	0	437500	2614	0	756	3	14	NO	NO PAGA
129	M       	79600	43	UNV     	CAS     	50	105	SANTIAGO        	0	288732	909851	500000	788	3	1446	2	15	NO	PAGA
130	M       	530000	51	MED     	CAS     	31	119	SANTIAGO        	775305	200000	0	119492	1076	33	11378	1	11	NO	PAGA
131	F       	1680000	40	UNV     	SOL     	64	272	VALDIVIA        	0	0	0	0	0	41	0	0	80	NO	NO PAGA
132	F       	500000	54	MED     	CAS     	76	104	SANTIAGO        	0	7239	0	103813	262	0	106	1	18	SI	PAGA
133	M       	603000	43	UNV     	CAS     	16	89	SANTIAGO        	0	0	0	0	961	5	181	1	15	NO	PAGA
134	F       	6800000	36	MED     	SOL     	46	35	OVALLE          	0	-1033096	0	490893	10689	33	30659	1	44	NO	NO PAGA
135	M       	2221000	46	MED     	CAS     	70	265	LONCOCHE        	0	1250000	0	2953011	0	0	6073	0	80	NO	NO PAGA
136	F       	80000	60	TEC     	SOL     	30	98	SANTIAGO        	0	200000	66109	0	0	4	131	0	22	SI	NO PAGA
137	F       	75000	61	TEC     	SOL     	52	88	SANTIAGO        	0	1040000	0	0	29	32	0	1	80	SI	NO PAGA
138	F       	87100	52	TEC     	SOL     	56	138	RENGO           	0	0	0	248790	0	0	400	0	18	SI	NO PAGA
139	M       	635000	54	UNV     	SOL     	127	105	SANTIAGO        	0	150832	0	56975	1678	0	126	3	9	NO	PAGA
140	M       	650000	53	MED     	CAS     	146	90	SANTIAGO        	0	1544412	0	260790	296	15	0	1	11	NO	PAGA
141	M       	767000	32	TEC     	SOL     	71	326	PUNTA ARENAS    	1062721	224689	0	103119	1448	15	6	1	24	NO	NO PAGA
142	M       	701000	37	MED     	CAS     	15	67	VINA DEL MAR    	0	355848	0	0	1	0	0	1	25	NO	NO PAGA
143	M       	900000	29	        	CAS     	76	104	SANTIAGO        	1146683	99600	0	790795	1661	0	749	1	29	NO	NO PAGA
144	M       	6210000	40	MED     	CAS     	90	109	SANTIAGO        	0	377947	0	0	221	0	0	1	19	NO	PAGA
145	F       	88000	50	TEC     	SOL     	132	97	SANTIAGO        	0	505329	0	500000	3500	0	510	3	28	SI	NO PAGA
146	M       	98800	52	UNV     	CAS     	19	115	SANTIAGO        	1066564	1780000	0	0	0	0	0	1	80	NO	PAGA
147	M       	6300000	44	UNV     	CAS     	55	90	SANTIAGO        	611808	29361	0	300000	1260	0	306	1	7	NO	PAGA
148	F       	460000	51	TEC     	CAS     	138	1	ARICA           	542597	250000	0	10698	610	0	22	1	11	NO	PAGA
149	F       	650000	42	UNV     	CAS     	76	98	SANTIAGO        	0	436714	0	0	61	0	0	1	22	NO	NO PAGA
150	F       	46000	40	MED     	SOL     	92	88	SANTIAGO        	0	2078220	0	36560	0	0	0	0	20	SI	NO PAGA
151	M       	614000	40	TEC     	CAS     	93	89	SANTIAGO        	0	1362	0	800000	598	0	512	2	19	NO	PAGA
152	M       	670000	35	TEC     	SOL     	29	90	SANTIAGO        	385974	406014	0	0	514	0	0	1	19	NO	NO PAGA
153	F       	628000	40	UNV     	CAS     	31	119	SANTIAGO        	0	0	0	1500000	0	0	2850	1	26	SI	PAGA
154	F       	57300	47	MED     	SOL     	13	16	ANTOFAGASTA     	0	696386	0	896000	675	9	803	1	37	SI	NO PAGA
155	M       	1325000	48	UNV     	CAS     	138	1	ARICA           	4417010	166245	0	1500000	5500	41	3411	2	12	NO	PAGA
156	M       	789000	53	UNV     	CAS     	27	226	CONCEPCION      	1017913	278042	0	1000000	2723	0	1018	2	13	SI	PAGA
157	F       	1000000	42	TEC     	CAS     	27	226	CONCEPCION      	796361	259348	0	132718	1288	0	0	1	38	SI	NO PAGA
158	M       	550000	50	MED     	CAS     	138	1	ARICA           	0	62411	0	410608	202	0	430	1	20	NO	PAGA
159	F       	83500	46	TEC     	SOL     	55	91	SANTIAGO        	0	250000	0	0	2109	0	761	1	80	SI	NO PAGA
160	M       	800000	51	MED     	CAS     	90	93	SANTIAGO        	0	268739	0	89007	1803	0	39	2	22	NO	PAGA
161	M       	1100000	45	UNV     	SOL     	25	85	SANTIAGO        	0	192299	2988111	93872	626	0	3595	3	49	SI	PAGA
162	M       	630000	29	TEC     	CAS     	27	226	CONCEPCION      	0	91535	0	20	1137	0	0	2	14	NO	PAGA
163	F       	8710000	34	TEC     	VIU     	53	105	SANTIAGO        	0	750000	0	7781	0	2	6	0	14	NO	NO PAGA
164	M       	681000	53	MED     	CAS     	52	93	SANTIAGO        	384966	-4828	0	0	832	0	0	1	19	NO	PAGA
165	M       	605000	38	MED     	SOL     	66	279	PANGUIPULLI     	0	300000	0	136861	0	0	81	0	22	NO	NO PAGA
166	M       	1700000	37	MED     	CAS     	71	326	PUNTA ARENAS    	0	975318	0	4000000	1425	47	10459	2	80	NO	NO PAGA
167	M       	6010000	43	UNV     	CAS     	25	85	SANTIAGO        	0	64152	0	888840	197	0	558	1	20	NO	PAGA
168	M       	1160000	47	TEC     	CAS     	83	85	SANTIAGO        	0	12044	0	1099284	3595	4	5361	3	23	NO	PAGA
169	M       	648000	53	UNV     	CAS     	138	1	ARICA           	0	215807	0	0	177	12	0	1	24	NO	PAGA
170	F       	470000	26	EUN     	SOL     	64	316	AYSEN           	0	250000	0	96943	1	0	99	1	17	NO	NO PAGA
171	F       	49200	41	TEC     	SOL     	120	292	PUERTO VARAS    	0	2862637	0	370788	2487	0	883	1	19	NO	NO PAGA
172	M       	800000	48	TEC     	CAS     	78	182	LINARES         	0	883111	0	0	335	0	0	1	32	NO	NO PAGA
173	M       	1262000	52	MED     	SOL     	138	1	ARICA           	0	0	0	0	824	18	0	1	55	NO	PAGA
174	M       	650000	38	TEC     	CAS     	88	67	VINA DEL MAR    	0	102130	0	100000	845	0	14381	3	18	SI	NO PAGA
175	M       	800000	54	UNV     	CAS     	138	87	SANTIAGO        	0	-288450	0	500000	7	0	516	1	40	NO	PAGA
176	M       	6020000	40	UNV     	CAS     	85	88	SANTIAGO        	0	1898072	0	0	1034	0	0	2	48	NO	PAGA
177	M       	65000	40	UNV     	CAS     	142	93	SANTIAGO        	0	13320	934047	1996064	2417	0	17679	2	31	SI	PAGA
178	M       	3500000	59	UNV     	SOL     	84	85	SANTIAGO        	0	313284	0	348659	1659	98	0	3	80	NO	NO PAGA
179	F       	610000	53	MED     	CAS     	37	115	SANTIAGO        	0	53517	0	0	137	0	0	1	24	NO	PAGA
180	F       	493000	64	EUN     	SOL     	18	118	SANTIAGO        	0	500000	0	100000	1245	0	0	1	8	NO	NO PAGA
181	F       	6300000	28	TEC     	SOL     	43	67	VINA DEL MAR    	0	711373	0	21889	646	0	330	3	11	NO	NO PAGA
182	F       	50000	41	TEC     	SOL     	74	510	SANTIAGO        	0	17349	0	175330	840	0	179	1	47	SI	NO PAGA
183	M       	1000000	53	UNV     		138	1	ARICA           	609457	351911	0	700000	4030	0	934	3	10	SI	PAGA
184	M       	5210000	43	UNV     	CAS     	73	86	SANTIAGO        	0	109632	0	0	804	0	0	2	30	NO	PAGA
185	F       	52300	42	TEC     	SOL     	57	112	SANTIAGO        	0	1250000	0	45549	0	32	30	0	80	SI	NO PAGA
186	F       	1300000	41	UNV     	CAS     	31	119	SANTIAGO        	638143	1024351	0	597344	1308	9	610	2	49	NO	PAGA
187	F       	625000	47	UNV     	CAS     	71	326	PUNTA ARENAS    	0	500499	0	0	88	0	0	1	20	SI	NO PAGA
188	M       	484000	54	UNV     	CAS     	84	90	SANTIAGO        	0	493994	0	35892	0	0	36	1	15	SI	PAGA
189	F       	60000	48	TEC     	SOL     	132	99	SANTIAGO        	0	250814	0	891841	890	0	2031	1	36	SI	NO PAGA
190	M       	638000	50	TEC     	SOL     	138	1	ARICA           	0	325000	0	461631	164	0	1382	1	23	NO	PAGA
191	M       	500000	41	TEC     	CAS     	17	80	SANTIAGO        	0	343067	0	0	7	0	0	1	17	NO	NO PAGA
192	M       	2880000	44	TEC     	CAS     	52	90	SANTIAGO        	446177	166289	0	1941959	1078	37	2	1	80	NO	NO PAGA
193	F       	1150000	47	TEC     	CAS     	39	82	SANTIAGO        	0	137879	0	2000000	1636	0	2049	3	42	NO	NO PAGA
194	F       	1000000	28	TEC     	SOL     	67	80	SANTIAGO        	0	0	0	0	0	16	267	0	50	NO	NO PAGA
195	M       	1200000	52	TEC     	CAS     	27	226	CONCEPCION      	977518	517803	0	1000000	2005	33	931	2	40	NO	PAGA
196	F       	50000	41	TEC     	SOL     	44	173	TALCA           	0	1114466	0	0	3499	24	11336	1	80	SI	NO PAGA
197	F       	670000	35	TEC     	CAS     	92	88	SANTIAGO        	0	303527	0	177949	288	3	266	1	24	NO	NO PAGA
198	F       	8500000	31	MED     	SEP     	84	93	SANTIAGO        	0	1000000	0	0	0	0	28	0	45	NO	NO PAGA
199	M       	756000	47	UNV     	CAS     	127	104	SANTIAGO        	0	412016	0	0	175	0	0	2	34	NO	PAGA
200	M       	1814000	35	UNV     	CAS     	72	504	EL SALVADOR     	0	53909	0	0	1258	4	506	1	80	NO	NO PAGA
201	F       	450000	50	MED     	CAS     	12	13	CALAMA          	750815	0	0	0	891	0	0	1	10	NO	NO PAGA
202	M       	7300000	43	UNV     	CAS     	18	102	SANTIAGO        	0	240475	0	250000	520	13	256	2	13	NO	PAGA
203	F       	500000	43	MED     	CAS     	48	88	SANTIAGO        	0	0	0	2	197	0	101	1	19	NO	NO PAGA
204	M       	720000	51	MED     	CAS     	69	53	SAN FELIPE      	0	300000	0	0	1006	0	0	1	19	NO	NO PAGA
205	M       	3000000	63	MED     	SOL     	17	80	SANTIAGO        	0	991604	0	0	9799	0	0	2	80	NO	NO PAGA
206	F       	68000	53	MED     	SOL     	107	86	SANTIAGO        	0	845000	0	372751	556	0	518	3	34	SI	NO PAGA
207	F       	935000	46	MED     	CAS     	142	93	SANTIAGO        	0	500000	0	0	759	15	0	1	40	NO	NO PAGA
208	F       	5000000	34	TEC     	SOL     	125	93	SANTIAGO        	0	361743	0	403514	133	8	6	1	18	SI	NO PAGA
209	M       	9600000	38	UNV     	CAS     	65	118	SANTIAGO        	527694	120143	0	0	1015	0	0	2	15	NO	PAGA
210	M       	450000	52	UNV     	SOL     	35	112	SANTIAGO        	0	450000	0	400000	0	0	16	1	14	NO	PAGA
211	F       	750000	44	TEC     	SOL     	83	88	SANTIAGO        	0	46200	0	489350	2328	0	509	3	15	NO	NO PAGA
212	F       	75000	58	MED     	SOL     	84	128	PENAFLOR        	0	157950	7046942	568440	3086	65	10465	1	72	SI	NO PAGA
213	F       	8230000	41	TEC     	SOL     	72	504	EL SALVADOR     	0	126247	0	0	89	0	0	1	19	NO	NO PAGA
214	M       	724000	47	MED     	CAS     	31	119	SANTIAGO        	0	500000	0	1963	0	0	2	1	24	NO	PAGA
215	F       	70000	56	TEC     	SOL     	70	261	VILLARRICA      	0	250000	0	0	0	0	0	0	22	SI	NO PAGA
216	M       	56000	45	MED     	CAS     	55	90	SANTIAGO        	0	3500000	0	223338	0	3	0	1	80	NO	PAGA
217	M       	680000	53	TEC     	CAS     	95	316	AYSEN           	0	0	0	0	334	0	689	1	24	NO	NO PAGA
218	F       	1300000	55	MED     	SOL     	122	85	SANTIAGO        	0	0	0	0	83	0	234	1	65	SI	NO PAGA
219	F       	71600	52	TEC     	SOL     	43	70	QUILPUE         	0	0	0	0	0	10	0	0	21	SI	NO PAGA
