ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;Crédito_1;Crédito_2;Crédito_3;Crédito_4;Monto solicitado;Días de Mora;Monto Deuda Promedio;Número de meses inactivo;numero de cuotas;Aval;PAGA
16;M       ;659,000;50;UNV     ;SOL     ;138;1;ARICA           ;0;81,964;0;0;76;0;0;1;26;NO;PAGA
17;M       ;5,620,000;43;UNV     ;CAS     ;40;80;SANTIAGO        ;0;839,481;0;2,689,049;500;60;3,520;2;47;NO;PAGA
18;M       ;2,000,000;61;TEC     ;CAS     ;24;124;CURACAVI        ;0;500,000;0;0;89;0;53,118;1;80;NO;NO PAGA
19;M       ;820,000;36;UNV     ;CAS     ;54;88;SANTIAGO        ;0;500,000;0;0;0;0;64,276;0;36;NO;NO PAGA
20;M       ;500,000;40;TEC     ;CAS     ;88;67;VINA DEL MAR    ;0;1,117,500;0;0;174;0;0;1;9;NO;NO PAGA
21;F       ;600,000;51;UNV     ;CAS     ;138;1;ARICA           ;0;13,476;0;0;279;0;0;1;22;NO;PAGA
22;F       ;70,000;51;MED     ;SOL     ;50;98;SANTIAGO        ;0;1,300,000;0;0;0;30;3,358;0;62;SI;NO PAGA
23;F       ;6,800,000;34;TEC     ;SOL     ;19;80;SANTIAGO        ;0;0;0;93,283;1,028;0;491;1;14;NO;NO PAGA
24;M       ;1,502,000;45;UNV     ;CAS     ;31;119;SANTIAGO        ;2,296,794;425,354;0;1,649,683;3,005;37;3,037;1;46;NO;PAGA
25;F       ;50,000;45;TEC     ;SEP     ;16;313;PALENA          ;332,606;1,198,000;0;0;358;0;0;1;9;SI;NO PAGA
26;M       ;1,160,000;50;UNV     ;CAS     ;83;85;SANTIAGO        ;0;12,044;0;1,099,284;3,595;4;5,361;3;23;NO;PAGA
27;F       ;2,200,000;38;UNV     ;SOL     ;84;85;SANTIAGO        ;0;491,609;0;0;8;45;0;1;80;NO;NO PAGA
28;F       ;5,010,000;38;TEC     ;SOL     ;53;100;SANTIAGO        ;0;224,185;0;49,141;53;0;0;1;16;NO;NO PAGA
29;M       ;762,000;45;MED     ;SOL     ;103;93;SANTIAGO        ;0;250,000;0;0;17;0;0;1;36;SI;PAGA
30;M       ;750,000;35;TEC     ;CAS     ;16;89;SANTIAGO        ;0;490,455;0;0;48;13;225;1;33;NO;NO PAGA
31;F       ;54,700;50;MED     ;SOL     ;82;91;SANTIAGO        ;0;260,461;0;297,328;5;0;165;1;49;SI;NO PAGA
32;M       ;1,200,000;29;TEC     ;SOL     ;13;16;ANTOFAGASTA     ;0;438,043;0;0;1,008;0;799;1;50;NO;NO PAGA
33;M       ;800,000;32;MED     ;CAS     ;27;226;CONCEPCION      ;0;750,000;0;727,188;667;0;1,581;2;33;SI;PAGA
34;F       ;77,000;31;MED     ;SOL     ;24;88;SANTIAGO        ;0;3,082,754;0;0;0;0;11,523;0;80;SI;NO PAGA
35;M       ;1,400,000;37;MED     ;SEP     ;84;16;ANTOFAGASTA     ;0;1,764,296;0;0;5;0;0;1;53;NO;NO PAGA
36;F       ;463,000;63;MED     ;CAS     ;95;316;AYSEN           ;0;423,805;0;289,449;786;0;0;1;11;NO;NO PAGA
37;F       ;1,153,000;42;UNV     ;CAS     ;138;1;ARICA           ;1,451,108;19,684;0;100,000;4,842;0;102;2;10;NO;PAGA
38;M       ;4,860,000;40;UNV     ;CAS     ;31;119;SANTIAGO        ;0;350,000;0;3,537,708;292;0;12,249;1;55;NO;PAGA
39;F       ;47,000;50;MED     ;SOL     ;25;85;SANTIAGO        ;1,815,858;1,000,000;0;0;5,376;0;1,019;3;9;SI;NO PAGA
40;F       ;46,000;43;MED     ;SOL     ;11;11;TOCOPILLA       ;0;476,919;0;0;0;0;2,740;0;61;SI;NO PAGA
41;M       ;7,500,000;43;UNV     ;CAS     ;90;100;SANTIAGO        ;601,716;381,282;0;223,709;60;0;248;1;31;NO;PAGA
42;F       ;700,000;57;MED     ;CAS     ;34;88;SANTIAGO        ;0;412,550;0;64,967;194;0;30;1;24;NO;NO PAGA
43;M       ;50,000;45;MED     ;CAS     ;55;90;SANTIAGO        ;0;540,021;0;0;10;2;0;1;60;NO;PAGA
44;F       ;6,400,000;64;TEC     ;CAS     ;78;184;COLBUN          ;0;789,829;0;112,684;11,622;0;2;1;80;NO;NO PAGA
45;F       ;48,700;60;TEC     ;SOL     ;22;1;ARICA           ;819,533;92,031;0;1,997,053;3,189;0;2,032;1;29;SI;NO PAGA
46;F       ;520,000;60;TEC     ;SEP     ;63;300;CASTRO          ;0;0;0;0;13;0;0;1;21;NO;NO PAGA
47;M       ;2,466,000;30;MED     ;SOL     ;101;88;SANTIAGO        ;0;1,250,000;0;768,770;1,195;0;305;1;80;NO;NO PAGA
48;F       ;8,000,000;35;MED     ;SOL     ;75;74;SAN ANTONIO     ;515,659;35,779;0;485,815;1,130;0;506;1;18;NO;NO PAGA
49;F       ;6,000,000;38;TEC     ;VIU     ;10;5;IQUIQUE         ;0;562,702;0;0;372;0;0;1;38;NO;NO PAGA
50;F       ;9,500,000;40;TEC     ;SOL     ;67;193;CHILLAN         ;0;288,102;0;0;6;0;0;1;16;NO;NO PAGA
51;M       ;1,250,000;28;TEC     ;SOL     ;13;16;ANTOFAGASTA     ;0;800,000;0;0;229;36;4,143;2;55;SI;NO PAGA
52;F       ;626,000;48;MED     ;SEP     ;138;1;ARICA           ;0;451,626;0;0;0;0;0;1;21;NO;PAGA
53;M       ;2,000,000;59;UNV     ;SOL     ;101;98;SANTIAGO        ;0;500,000;0;2,500,000;1,152;0;2,823;1;80;NO;NO PAGA
54;F       ;50,000;43;TEC     ;SOL     ;24;116;SANTIAGO        ;0;0;0;305,359;0;0;340;0;26;SI;NO PAGA
55;M       ;557,000;35;MED     ;CAS     ;90; ;                ;0;0;0;0;1,123;20;0;1;12;NO;NO PAGA
56;M       ;45,000;40;MED     ;CAS     ;55;90;SANTIAGO        ;2,208,949;500,000;0;950,055;4,777;12;957;2;18;NO;PAGA
57;F       ;1,100,000;53;MED     ;CAS     ;12;16;ANTOFAGASTA     ;0;1,119,107;0;569,852;226;0;805;1;44;NO;NO PAGA
58;F       ;9,800,000;38;TEC     ;SOL     ;40;67;VINA DEL MAR    ;0;500,000;0;0;6,190;0;60,754;1;48;NO;NO PAGA
59;F       ;580,000;57;TEC     ;VIU     ;27;226;CONCEPCION      ;0;0;0;1,498,432;0;0;4,506;0;24;NO;NO PAGA
60;M       ;700,000;26;UNV     ;CAS     ;15;67;VINA DEL MAR    ;796,783;900,983;0;0;888;0;0;1;12;NO;NO PAGA
61;M       ;2,600,000;41;UNV     ;CAS     ;60;291;PUERTO MONTT    ;0;115,440;0;4,500,000;7,960;14;4,566;3;77;SI;NO PAGA
62;M       ;1,400,000;42;MED     ;SEP     ;31;119;SANTIAGO        ;3,105,337;650,000;0;0;4,883;0;516;2;22;SI;PAGA
63;F       ;4,600,000;44;UNV     ;CAS     ;118;94;SANTIAGO        ;0;13,686;0;169,317;1,131;0;326;2;13;NO;PAGA
64;M       ;601,000;47;UNV     ;CAS     ;138;1;ARICA           ;0;90,909;0;234,949;591;0;303;1;19;SI;PAGA
65;M       ;77,900;52;UNV     ;CAS     ;55;90;SANTIAGO        ;0;500,000;0;0;965;0;0;2;17;NO;PAGA
66;M       ;1,106,000;35;UNV     ;CAS     ;98;122;MELIPILLA       ;0;649,998;0;429,782;0;11;395;0;49;SI;NO PAGA
67;M       ;5,500,000;43;MED     ;SEP     ;18;118;SANTIAGO        ;0;325,000;0;0;0;0;0;1;37;SI;PAGA
68;M       ;1,200,000;48;MED     ;CAS     ;66;253;TEMUCO          ;0;0;0;0;0;0;0;0;60;NO;NO PAGA
69;M       ;1,196,000;48;UNV     ;CAS     ;138;1;ARICA           ;0;0;0;0;0;4;0;1;60;NO;PAGA
70;M       ;750,000;47;MED     ;SOL     ;138;1;ARICA           ;0;156,284;0;0;304;0;0;1;35;SI;PAGA
71;M       ;674,000;44;TEC     ;CAS     ;138;1;ARICA           ;0;1,631,228;0;1,015,374;302;0;2,928;2;11;NO;PAGA
72;M       ;1,100,000;46;MED     ;SOL     ;138;1;ARICA           ;0;1,099,564;0;0;16;1;0;1;45;NO;PAGA
73;M       ;850,000;55;UNV     ;CAS     ;18;89;SANTIAGO        ;604,663;0;0;0;890;18;3;3;34;NO;PAGA
74;F       ;1,000,000;42;MED     ;SOL     ;27;226;CONCEPCION      ;796,361;259,348;0;132,718;1,288;0;0;1;38;SI;NO PAGA
75;F       ;51,900;48;TEC     ;SOL     ;22;93;SANTIAGO        ;0;0;0;800,000;195;25;138;1;54;SI;NO PAGA
76;F       ;90,000;36;TEC     ;SOL     ;116;131;RANCAGUA        ;1,539,136;63,243;0;0;3,437;10;810;1;11;SI;NO PAGA
77;F       ;440,000;36;UNV     ;CAS     ;21;502;CHUQUICAMATA    ;0;0;0;328,674;0;0;276;0;18;NO;NO PAGA
78;F       ;478,000;27;TEC     ;SOL     ;45;128;PENAFLOR        ;0;250,000;0;202,165;0;0;203;0;17;NO;NO PAGA
79;M       ;1,566,000;35;UNV     ;CAS     ;66;253;TEMUCO          ;3,874,669;461,265;201,045;0;4,107;0;318;1;51;NO;NO PAGA
80;F       ;573,000;55;TEC     ;SEP     ;16;89;SANTIAGO        ;964,531;100,000;0;0;1,032;0;0;1;13;NO;PAGA
81;M       ;772,000;51;UNV     ;CAS     ;138;1;ARICA           ;0;-17,434;0;250,000;1,258;0;256;2;27;SI;PAGA
82;F       ;600,000;47;MED     ;CAS     ;138;1;ARICA           ;0;300,000;0;0;0;0;124;1;21;NO;PAGA
83;M       ;800,000;53;MED     ;SOL     ;55;93;SANTIAGO        ;0;300,000;0;0;0;0;0;0;37;NO;NO PAGA
84;M       ;1,500,000;49;UNV     ;VIU     ;45; ;                ;0;1,000,000;0;0;67;25;0;1;65;NO;NO PAGA
85;M       ;700,000;33;TEC     ;SOL     ;83;88;SANTIAGO        ;0;0;0;0;1,939;0;1,162;1;9;NO;NO PAGA
86;M       ;1,350,000;43;UNV     ;CAS     ;138;1;ARICA           ;0;950,000;0;885,181;544;0;587;1;58;NO;PAGA
87;F       ;500,000;44;MED     ;CAS     ;36;67;VINA DEL MAR    ;0;938,949;0;0;103;0;0;1;11;NO;NO PAGA
88;F       ;4,600,000;33;TEC     ;SOL     ;61;284;OSORNO          ;1,654,119;750,000;0;378,822;1,866;0;659;1;19;NO;NO PAGA
89;M       ;75,600;40;UNV     ;SEP     ;132;118;SANTIAGO        ;0;10,741;0;1,430,498;3,530;20;6,307;3;14;NO;PAGA
90;F       ;4,520,000;31;MED     ;CAS     ;56;131;RANCAGUA        ;0;30,127;0;600,000;591;0;612;1;19;SI;NO PAGA
91;M       ;52,700;44;UNV     ;CAS     ;55;90;SANTIAGO        ;0;0;0;600,000;0;0;3,168;1;20;NO;PAGA
92;F       ;54,400;50;TEC     ;SOL     ;13;16;ANTOFAGASTA     ;0;500,000;0;0;0;34;0;0;45;SI;NO PAGA
93;M       ;1,200,000;40;TEC     ;CAS     ;30;98;SANTIAGO        ;1,807,305;2,300,000;0;617,552;2,654;0;699;3;19;NO;NO PAGA
94;F       ;5,470,000;40;TEC     ;SOL     ;29;93;SANTIAGO        ;0;16,514;0;622,113;2,031;0;384;3;30;SI;NO PAGA
95;F       ;770,000;49;MED     ;CAS     ;138;85;SANTIAGO        ;0;-7,255;0;801,618;2,058;0;702;3;18;NO;PAGA
96;F       ;6,680,000;24;TEC     ;SEP     ;118;86;SANTIAGO        ;0;733,853;0;24,527;0;0;4;0;31;NO;NO PAGA
97;F       ;500,000;59;TEC     ;CAS     ;84;89;SANTIAGO        ;0;581,247;0;0;86;0;0;1;15;NO;NO PAGA
98;M       ;950,000;41;TEC     ;CAS     ;122;95;SANTIAGO        ;0;890,000;0;0;380;0;0;2;39;NO;NO PAGA
99;F       ;680,000;34;UNV     ;CAS     ;128;88;SANTIAGO        ;0;138,979;0;492,813;362;0;81;2;24;NO;NO PAGA
100;F       ;520,000;60;TEC     ;SOL     ;63;300;CASTRO          ;0;0;0;0;13;0;0;1;21;NO;NO PAGA
101;M       ;621,000;28;TEC     ;CAS     ;27;226;CONCEPCION      ;0;219,332;0;0;1,997;4;352;3;5;NO;PAGA
102;M       ;634,000;54;TEC     ;CAS     ;25;106;SANTIAGO        ;0;500,000;0;1,099,438;1,573;0;2,040;1;10;NO;PAGA
103;M       ;8,710,000;40;UNV     ;CAS     ;55;90;SANTIAGO        ;1,276,516;4,922;;150,000;1,541;0;157;1;5;NO;PAGA
104;F       ;600,000;32;TEC     ;CAS     ;34;29;LA SERENA       ;0;400,000;0;350,000;0;0;355;0;20;NO;NO PAGA
105;M       ;2,700,000;42;UNV     ;CAS     ;19;115;SANTIAGO        ;0;389,673;0;0;48;0;283;1;80;NO;NO PAGA
106;F       ;71,600;50;MED     ;SOL     ;27;226;CONCEPCION      ;0;0;0;0;59;7;0;1;26;SI;NO PAGA
107;M       ;750,000;34;TEC     ;SOL     ;27;226;CONCEPCION      ;0;700,000;0;0;211;23;0;1;31;NO;NO PAGA
108;M       ;519,000;48;UNV     ;CAS     ;138;1;ARICA           ;0;205,068;0;0;11;0;185;1;19;NO;PAGA
109;F       ;4,550,000;32;TEC     ;SOL     ;62;292;PUERTO VARAS    ;0;232,647;0;0;972;31;0;3;28;NO;NO PAGA
110;M       ;1,704,000;51;UNV     ;SOL     ;90;88;SANTIAGO        ;0;1,250,000;0;751,553;3,872;50;1,942;3;64;NO;PAGA
111;F       ;486,000;29;TEC     ;SOL     ;16;91;SANTIAGO        ;0;15,132;0;140,691;207;0;87;1;18;NO;NO PAGA
112;F       ;750,000;54;UNV     ;SEP     ;27;226;CONCEPCION      ;0;519,917;0;291,628;0;0;301;1;33;NO;PAGA
113;M       ;2,000,000;50;MED     ;VIU     ;49;110;SANTIAGO        ;416,504;0;0;0;828;0;1,022;1;80;NO;PAGA
114;F       ;8,000,000;38;TEC     ;VIU     ;138;112;SANTIAGO        ;0;1,000,000;0;0;0;0;40;0;80;NO;NO PAGA
115;M       ;650,000;36;UNV     ;CAS     ;72;504;EL SALVADOR     ;673,657;553,964;0;0;863;0;0;1;14;SI;NO PAGA
116;M       ;1,200,000;38;UNV     ;SOL     ;18;99;SANTIAGO        ;0;403,230;0;0;4,806;0;1,218;2;12;SI;NO PAGA
117;F       ;484,000;26;MED     ;CAS     ;40;67;VINA DEL MAR    ;0;743,500;0;0;128;0;0;1;12;NO;NO PAGA
118;M       ;1,264,000;43;TEC     ;SOL     ;67;193;CHILLAN         ;0;800,000;0;0;0;0;23,948;0;56;NO;NO PAGA
119;F       ;67,400;43;TEC     ;SOL     ;56;131;RANCAGUA        ;0;229,558;0;698,963;313;0;1,324;1;37;SI;NO PAGA
120;M       ;7,500,000;40;UNV     ;CAS     ;55;90;SANTIAGO        ;412,498;0;0;0;692;0;0;2;22;NO;PAGA
121;M       ;600,000;33;UNV     ;SOL     ;32;105;SANTIAGO        ;0;249,000;0;462,509;1;0;1,565;1;22;NO;NO PAGA
122;F       ;9,200,000;39;TEC     ;VIU     ;96;131;RANCAGUA        ;891,079;55,748;0;324,557;1,530;0;3,113;1;13;NO;NO PAGA
123;M       ;716,000;40;UNV     ;CAS     ;13;16;ANTOFAGASTA     ;0;300,000;0;166;228;0;0;1;26;NO;NO PAGA
124;M       ;744,000;53;UNV     ;SOL     ;27;226;CONCEPCION      ;0;103,418;0;241,818;279;0;451;1;35;NO;PAGA
125;M       ;544,000;46;MED     ;CAS     ;108;105;SANTIAGO        ;0;664,380;0;113,397;109;14;116;3;16;NO;PAGA
126;F       ;550,000;42;UNV     ;CAS     ;31;119;SANTIAGO        ;0;611,706;0;59,527;0;2;481;1;16;NO;PAGA
127;F       ;1,380,000;60;MED     ;CAS     ;68;213;LOS ANGELES     ;1,403,219;3,050,000;1,399,989;0;0;0;2,369;0;25;NO;NO PAGA
128;F       ;790,000;38;MED     ;CAS     ;103;89;SANTIAGO        ;0;75,510;0;437,500;2,614;0;756;3;14;NO;NO PAGA
129;M       ;79,600;43;UNV     ;CAS     ;50;105;SANTIAGO        ;0;288,732;909,851;500,000;788;3;1,446;2;15;NO;PAGA
130;M       ;530,000;51;MED     ;CAS     ;31;119;SANTIAGO        ;775,305;200,000;0;119,492;1,076;33;11,378;1;11;NO;PAGA
131;F       ;1,680,000;40;UNV     ;SOL     ;64;272;VALDIVIA        ;0;0;0;0;0;41;0;0;80;NO;NO PAGA
132;F       ;500,000;54;MED     ;CAS     ;76;104;SANTIAGO        ;0;7,239;0;103,813;262;0;106;1;18;SI;PAGA
133;M       ;603,000;43;UNV     ;CAS     ;16;89;SANTIAGO        ;0;0;0;0;961;5;181;1;15;NO;PAGA
134;F       ;6,800,000;36;MED     ;SOL     ;46;35;OVALLE          ;0;-1,033,096;0;490,893;10,689;33;30,659;1;44;NO;NO PAGA
135;M       ;2,221,000;46;MED     ;CAS     ;70;265;LONCOCHE        ;0;1,250,000;0;2,953,011;0;0;6,073;0;80;NO;NO PAGA
136;F       ;80,000;60;TEC     ;SOL     ;30;98;SANTIAGO        ;0;200,000;66,109;0;0;4;131;0;22;SI;NO PAGA
137;F       ;75,000;61;TEC     ;SOL     ;52;88;SANTIAGO        ;0;1,040,000;0;0;29;32;0;1;80;SI;NO PAGA
138;F       ;87,100;52;TEC     ;SOL     ;56;138;RENGO           ;0;0;0;248,790;0;0;400;0;18;SI;NO PAGA
139;M       ;635,000;54;UNV     ;SOL     ;127;105;SANTIAGO        ;0;150,832;0;56,975;1,678;0;126;3;9;NO;PAGA
140;M       ;650,000;53;MED     ;CAS     ;146;90;SANTIAGO        ;0;1,544,412;0;260,790;296;15;0;1;11;NO;PAGA
141;M       ;767,000;32;TEC     ;SOL     ;71;326;PUNTA ARENAS    ;1,062,721;224,689;0;103,119;1,448;15;6;1;24;NO;NO PAGA
142;M       ;701,000;37;MED     ;CAS     ;15;67;VINA DEL MAR    ;0;355,848;0;0;1;0;0;1;25;NO;NO PAGA
143;M       ;900,000;29;        ;CAS     ;76;104;SANTIAGO        ;1,146,683;99,600;0;790,795;1,661;0;749;1;29;NO;NO PAGA
144;M       ;6,210,000;40;MED     ;CAS     ;90;109;SANTIAGO        ;0;377,947;0;0;221;0;0;1;19;NO;PAGA
145;F       ;88,000;50;TEC     ;SOL     ;132;97;SANTIAGO        ;0;505,329;0;500,000;3,500;0;510;3;28;SI;NO PAGA
146;M       ;98,800;52;UNV     ;CAS     ;19;115;SANTIAGO        ;1,066,564;1,780,000;0;0;0;0;0;1;80;NO;PAGA
147;M       ;6,300,000;44;UNV     ;CAS     ;55;90;SANTIAGO        ;611,808;29,361;0;300,000;1,260;0;306;1;7;NO;PAGA
148;F       ;460,000;51;TEC     ;CAS     ;138;1;ARICA           ;542,597;250,000;0;10,698;610;0;22;1;11;NO;PAGA
149;F       ;650,000;42;UNV     ;CAS     ;76;98;SANTIAGO        ;0;436,714;0;0;61;0;0;1;22;NO;NO PAGA
150;F       ;46,000;40;MED     ;SOL     ;92;88;SANTIAGO        ;0;2,078,220;0;36,560;0;0;0;0;20;SI;NO PAGA
151;M       ;614,000;40;TEC     ;CAS     ;93;89;SANTIAGO        ;0;1,362;0;800,000;598;0;512;2;19;NO;PAGA
152;M       ;670,000;35;TEC     ;SOL     ;29;90;SANTIAGO        ;385,974;406,014;0;0;514;0;0;1;19;NO;NO PAGA
153;F       ;628,000;40;UNV     ;CAS     ;31;119;SANTIAGO        ;0;0;0;1,500,000;0;0;2,850;1;26;SI;PAGA
154;F       ;57,300;47;MED     ;SOL     ;13;16;ANTOFAGASTA     ;0;696,386;0;896,000;675;9;803;1;37;SI;NO PAGA
155;M       ;1,325,000;48;UNV     ;CAS     ;138;1;ARICA           ;4,417,010;166,245;0;1,500,000;5,500;41;3,411;2;12;NO;PAGA
156;M       ;789,000;53;UNV     ;CAS     ;27;226;CONCEPCION      ;1,017,913;278,042;0;1,000,000;2,723;0;1,018;2;13;SI;PAGA
157;F       ;1,000,000;42;TEC     ;CAS     ;27;226;CONCEPCION      ;796,361;259,348;0;132,718;1,288;0;0;1;38;SI;NO PAGA
158;M       ;550,000;50;MED     ;CAS     ;138;1;ARICA           ;0;62,411;0;410,608;202;0;430;1;20;NO;PAGA
159;F       ;83,500;46;TEC     ;SOL     ;55;91;SANTIAGO        ;0;250,000;0;0;2,109;0;761;1;80;SI;NO PAGA
160;M       ;800,000;51;MED     ;CAS     ;90;93;SANTIAGO        ;0;268,739;0;89,007;1,803;0;39;2;22;NO;PAGA
161;M       ;1,100,000;45;UNV     ;SOL     ;25;85;SANTIAGO        ;0;192,299;2,988,111;93,872;626;0;3,595;3;49;SI;PAGA
162;M       ;630,000;29;TEC     ;CAS     ;27;226;CONCEPCION      ;0;91,535;0;20;1,137;0;0;2;14;NO;PAGA
163;F       ;8,710,000;34;TEC     ;VIU     ;53;105;SANTIAGO        ;0;750,000;0;7,781;0;2;6;0;14;NO;NO PAGA
164;M       ;681,000;53;MED     ;CAS     ;52;93;SANTIAGO        ;384,966;-4,828;0;0;832;0;0;1;19;NO;PAGA
165;M       ;605,000;38;MED     ;SOL     ;66;279;PANGUIPULLI     ;0;300,000;0;136,861;0;0;81;0;22;NO;NO PAGA
166;M       ;1,700,000;37;MED     ;CAS     ;71;326;PUNTA ARENAS    ;0;975,318;0;4,000,000;1,425;47;10,459;2;80;NO;NO PAGA
167;M       ;6,010,000;43;UNV     ;CAS     ;25;85;SANTIAGO        ;0;64,152;0;888,840;197;0;558;1;20;NO;PAGA
168;M       ;1,160,000;47;TEC     ;CAS     ;83;85;SANTIAGO        ;0;12,044;0;1,099,284;3,595;4;5,361;3;23;NO;PAGA
169;M       ;648,000;53;UNV     ;CAS     ;138;1;ARICA           ;0;215,807;0;0;177;12;0;1;24;NO;PAGA
170;F       ;470,000;26;EUN     ;SOL     ;64;316;AYSEN           ;0;250,000;0;96,943;1;0;99;1;17;NO;NO PAGA
171;F       ;49,200;41;TEC     ;SOL     ;120;292;PUERTO VARAS    ;0;2,862,637;0;370,788;2,487;0;883;1;19;NO;NO PAGA
172;M       ;800,000;48;TEC     ;CAS     ;78;182;LINARES         ;0;883,111;0;0;335;0;0;1;32;NO;NO PAGA
173;M       ;1,262,000;52;MED     ;SOL     ;138;1;ARICA           ;0;0;0;0;824;18;0;1;55;NO;PAGA
174;M       ;650,000;38;TEC     ;CAS     ;88;67;VINA DEL MAR    ;0;102,130;0;100,000;845;0;14,381;3;18;SI;NO PAGA
175;M       ;800,000;54;UNV     ;CAS     ;138;87;SANTIAGO        ;0;-288,450;0;500,000;7;0;516;1;40;NO;PAGA
176;M       ;6,020,000;40;UNV     ;CAS     ;85;88;SANTIAGO        ;0;1,898,072;0;0;1,034;0;0;2;48;NO;PAGA
177;M       ;65,000;40;UNV     ;CAS     ;142;93;SANTIAGO        ;0;13,320;934,047;1,996,064;2,417;0;17,679;2;31;SI;PAGA
178;M       ;3,500,000;59;UNV     ;SOL     ;84;85;SANTIAGO        ;0;313,284;0;348,659;1,659;98;0;3;80;NO;NO PAGA
179;F       ;610,000;53;MED     ;CAS     ;37;115;SANTIAGO        ;0;53,517;0;0;137;0;0;1;24;NO;PAGA
180;F       ;493,000;64;EUN     ;SOL     ;18;118;SANTIAGO        ;0;500,000;0;100,000;1,245;0;0;1;8;NO;NO PAGA
181;F       ;6,300,000;28;TEC     ;SOL     ;43;67;VINA DEL MAR    ;0;711,373;0;21,889;646;0;330;3;11;NO;NO PAGA
182;F       ;50,000;41;TEC     ;SOL     ;74;510;SANTIAGO        ;0;17,349;0;175,330;840;0;179;1;47;SI;NO PAGA
183;M       ;1,000,000;53;UNV     ;;138;1;ARICA           ;609,457;351,911;0;700,000;4,030;0;934;3;10;SI;PAGA
184;M       ;5,210,000;43;UNV     ;CAS     ;73;86;SANTIAGO        ;0;109,632;0;0;804;0;0;2;30;NO;PAGA
185;F       ;52,300;42;TEC     ;SOL     ;57;112;SANTIAGO        ;0;1,250,000;0;45,549;0;32;30;0;80;SI;NO PAGA
186;F       ;1,300,000;41;UNV     ;CAS     ;31;119;SANTIAGO        ;638,143;1,024,351;0;597,344;1,308;9;610;2;49;NO;PAGA
187;F       ;625,000;47;UNV     ;CAS     ;71;326;PUNTA ARENAS    ;0;500,499;0;0;88;0;0;1;20;SI;NO PAGA
188;M       ;484,000;54;UNV     ;CAS     ;84;90;SANTIAGO        ;0;493,994;0;35,892;0;0;36;1;15;SI;PAGA
189;F       ;60,000;48;TEC     ;SOL     ;132;99;SANTIAGO        ;0;250,814;0;891,841;890;0;2,031;1;36;SI;NO PAGA
190;M       ;638,000;50;TEC     ;SOL     ;138;1;ARICA           ;0;325,000;0;461,631;164;0;1,382;1;23;NO;PAGA
191;M       ;500,000;41;TEC     ;CAS     ;17;80;SANTIAGO        ;0;343,067;0;0;7;0;0;1;17;NO;NO PAGA
192;M       ;2,880,000;44;TEC     ;CAS     ;52;90;SANTIAGO        ;446,177;166,289;0;1,941,959;1,078;37;2;1;80;NO;NO PAGA
193;F       ;1,150,000;47;TEC     ;CAS     ;39;82;SANTIAGO        ;0;137,879;0;2,000,000;1,636;0;2,049;3;42;NO;NO PAGA
194;F       ;1,000,000;28;TEC     ;SOL     ;67;80;SANTIAGO        ;0;0;0;0;0;16;267;0;50;NO;NO PAGA
